STATE BANK OF INDIA,Hindustan Aeronautics Ltd,PANACEA BIOTEC LTD.,HINDUSTAN COPPER LTD.,HAVELLS INDIA LTD.,ITC LTD.,BAYER CROPSCIENCE LTD.,BHARAT ELECTRONICS LTD.,BHARAT HEAVY ELECTRICALS LTD.,GREAT EASTERN SHIPPING CO.LTD.,Tata Consumer Products Ltd,MARUTI SUZUKI INDIA LTD.,COAL INDIA LTD.,MRF LTD.,ENGINEERS INDIA LTD.,INFOSYS LTD.,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,Quick Heal Technologies Ltd,STEEL AUTHORITY OF INDIA LTD.,BAJAJ ELECTRICALS LTD.-$,Zee Media Corporation Limited,ATUL AUTO LTD.-$,HINDUSTAN MOTORS LTD.,RUCHI SOYA INDUSTRIES LTD.,BANCO PRODUCTS (INDIA) LTD.-$,JAY SHREE TEA & INDUSTRIES LTD.,IFB AGRO INDUSTRIES LTD.,HINDUJA GLOBAL SOLUTIONS LTD.,ANDHRA CEMENTS LTD.,TILAKNAGAR INDUSTRIES LTD.-$
219.5,718.35,177.1,34.9,823.75,172.8,5632.45,92.9,28.2,223.45,509.95,6869.8,121.75,69934.1,67.1,1136.2,3096.45,157.85,37.9,495.8,4.99,156.8,4.95,525.85,92.95,64.55,369.9,718.4,4.98,16.95
231.7,724.1,178.55,35.2,841.4,178.35,5285.2,95.4,28.2,226.85,498.4,6791.0,124.75,69379.7,70.3,1090.95,3069.9,150.6,37.95,491.6,4.98,158.4,4.95,519.4,92.05,64.65,352.35,738.65,4.95,17.0
234.2,731.6,180.7,34.55,814.5,185.25,5212.85,95.7,27.95,228.8,503.35,6855.5,125.9,68574.95,70.3,1122.6,3077.65,153.8,39.65,518.05,4.91,156.05,5.0,545.35,92.45,61.6,353.8,747.75,4.86,17.05
226.8,755.35,188.15,35.05,811.35,187.9,5105.05,94.2,28.1,236.15,508.5,6837.3,122.2,69379.55,70.7,1117.75,3088.75,154.65,39.5,548.7,4.94,157.65,5.0,537.45,93.55,61.7,345.05,761.9,4.91,17.2
229.55,759.9,185.75,34.45,827.35,187.05,5098.2,96.65,28.0,240.5,513.25,6808.95,125.9,71960.05,70.7,1123.9,3083.2,153.4,39.15,540.45,4.94,158.45,4.99,533.05,106.75,63.0,345.4,773.65,4.88,17.2
229.65,776.3,189.3,34.65,827.45,188.65,5206.15,96.65,28.3,240.05,516.3,6853.65,127.1,71841.45,71.15,1133.45,3111.8,156.15,39.6,541.1,4.98,160.15,5.0,535.05,113.25,64.1,348.15,818.45,5.0,17.5
240.2,779.9,189.55,36.7,844.2,187.3,5091.85,96.15,28.25,247.95,518.25,6981.5,128.7,74201.4,70.75,1123.85,3068.55,153.75,40.3,560.65,4.88,168.4,4.98,561.8,112.7,63.95,351.25,865.9,4.92,17.75
252.05,767.6,191.95,38.05,838.65,184.05,5049.9,96.65,28.5,250.0,516.65,7055.3,128.25,75041.3,70.7,1110.6,3080.5,152.85,40.1,570.6,4.71,175.8,4.96,589.85,114.2,66.8,351.85,870.65,4.92,18.1
239.75,774.3,191.0,37.1,826.95,187.85,4996.5,103.1,29.15,247.55,515.35,6961.35,122.05,76893.1,70.85,1096.45,3052.2,150.75,39.9,559.25,4.74,168.85,5.02,619.3,118.1,66.25,358.25,865.2,4.89,17.75
242.8,772.0,197.25,36.9,825.0,191.6,5001.85,108.2,29.2,247.35,519.1,6967.1,121.45,79105.95,70.65,1103.05,3034.15,151.7,41.1,567.75,4.85,170.05,5.02,650.25,118.75,70.25,357.8,874.2,4.86,17.5
238.7,771.75,200.2,36.7,823.35,190.8,5127.55,105.8,31.35,252.2,521.25,6986.65,122.7,79956.75,73.35,1140.25,3027.3,154.8,43.2,552.55,4.84,169.55,5.07,682.75,120.45,71.5,392.95,892.3,4.83,17.35
243.85,791.95,198.5,38.65,821.35,195.45,5347.1,107.75,31.3,253.1,526.75,7157.95,123.25,79817.4,73.7,1139.15,3019.15,154.35,43.45,564.0,4.85,169.95,5.57,716.85,131.25,69.5,471.5,900.0,4.85,17.2
243.15,808.5,195.1,39.35,815.45,193.7,5195.2,106.85,30.65,248.25,514.3,7054.7,124.0,76220.7,72.95,1116.2,3022.75,152.05,43.05,555.75,4.85,167.3,5.7,752.65,125.1,66.8,489.9,899.95,4.82,17.15
245.45,810.35,198.3,40.0,803.5,194.8,5148.65,108.9,31.45,250.2,519.75,6993.25,125.0,75982.1,73.0,1113.65,3015.3,154.05,46.55,548.35,4.85,168.75,5.38,744.3,128.9,69.6,472.5,900.7,4.86,17.25
244.3,818.85,200.85,41.45,802.0,193.7,5034.4,111.15,32.85,256.0,539.0,7026.7,125.6,77939.95,74.15,1100.55,3041.35,155.45,48.45,572.7,4.87,170.75,5.5,711.4,128.85,70.15,495.0,902.75,4.84,17.4
248.05,829.45,205.9,41.05,823.15,194.45,5034.85,111.7,34.05,261.15,528.9,7099.1,126.35,79599.2,74.8,1137.25,3016.4,158.65,49.95,590.15,4.9,173.55,5.69,739.0,130.45,69.75,498.5,912.4,5.01,17.8
246.8,827.05,245.7,43.55,835.95,195.9,5060.8,113.45,33.8,262.8,539.45,7203.35,129.65,79752.75,74.4,1141.05,3016.15,158.4,51.75,582.05,4.84,174.0,5.68,729.6,134.05,69.6,487.75,912.3,5.51,18.35
256.35,847.95,233.75,43.5,832.45,196.25,5116.1,115.0,34.15,263.8,550.2,7740.15,133.4,78805.5,75.25,1126.55,3050.0,160.1,54.3,594.0,4.88,176.4,6.14,716.45,134.65,69.3,485.3,913.3,6.06,19.5
263.45,842.6,214.05,44.5,828.95,198.15,5149.85,115.6,34.25,285.1,563.8,7801.95,133.3,78706.5,76.2,1134.65,3046.0,161.1,54.95,608.6,5.12,173.65,6.26,695.15,133.6,69.25,481.05,914.0,6.36,21.45
269.7,866.3,225.3,45.0,825.0,203.1,5259.3,114.95,34.95,283.45,567.6,7740.15,136.8,79504.55,77.2,1144.05,3049.05,162.2,55.05,621.25,5.56,177.2,6.45,683.55,132.55,70.2,496.25,915.95,6.67,24.2
271.95,864.8,228.1,43.2,820.5,202.45,5267.6,113.1,36.2,277.2,562.6,7762.25,134.2,79107.3,77.55,1153.85,3116.45,161.65,55.75,619.65,5.68,185.85,6.4,683.95,127.9,76.55,478.1,917.3,6.38,22.8
270.35,878.05,231.75,46.55,823.75,205.35,5254.05,116.85,36.55,283.3,564.8,7707.75,134.75,78328.6,78.1,1175.15,3158.55,160.45,54.7,624.9,5.87,196.55,6.24,686.0,138.3,78.45,490.65,953.7,6.07,23.55
269.6,865.95,243.9,44.65,827.3,212.7,5197.95,114.35,35.7,294.25,580.25,7734.3,134.85,77536.25,75.9,1167.5,3135.3,157.85,55.75,618.55,6.06,190.95,6.03,671.7,136.35,77.25,481.95,981.7,5.8,22.8
272.45,857.15,245.5,44.35,827.65,216.2,5250.15,114.65,35.95,284.25,576.2,7732.25,138.25,77866.6,75.45,1163.05,3133.35,157.15,57.75,601.3,6.05,190.15,6.6,667.4,142.6,73.85,484.55,1126.85,6.09,23.05
274.25,872.85,239.25,53.1,826.7,215.9,5257.35,118.55,36.85,285.15,576.9,7693.6,143.4,77534.65,78.9,1164.55,3127.95,162.3,58.55,597.6,6.57,190.55,6.86,700.35,146.85,72.95,581.45,1207.15,6.39,23.75
270.6,871.3,238.2,51.35,864.6,213.4,5195.75,118.2,36.35,286.05,571.6,7767.75,143.1,77261.0,78.25,1154.4,3135.85,159.75,58.25,593.75,7.18,191.7,7.09,714.75,145.65,71.8,589.1,1240.35,6.57,23.3
269.45,880.15,237.1,58.2,901.65,214.35,5344.8,118.05,36.3,286.35,583.4,7800.8,145.45,78510.05,78.3,1165.75,3116.7,160.15,60.15,608.3,6.83,191.1,7.41,708.0,143.0,72.6,566.55,1188.0,6.45,22.75
267.6,866.95,235.45,63.3,910.75,213.0,5364.5,120.3,35.85,281.8,577.15,7686.2,143.45,77320.15,76.8,1159.1,3133.75,161.6,57.6,607.75,6.49,186.6,7.12,701.85,140.8,72.65,557.6,1089.8,6.25,22.0
271.4,864.1,229.1,63.85,918.8,214.5,5279.15,121.2,35.85,268.1,572.4,7559.8,141.7,77619.85,77.1,1189.75,3167.45,159.2,57.8,632.75,6.5,182.65,7.25,697.45,136.3,71.65,547.85,1074.2,6.11,22.05
254.6,800.1,209.4,57.5,880.8,202.95,5190.9,111.95,32.6,249.85,562.2,7364.0,132.95,75258.6,72.65,1176.3,3101.75,149.7,55.45,601.25,6.18,173.45,7.42,679.35,124.85,66.85,485.75,999.5,5.81,22.0
257.55,795.2,223.25,58.3,879.65,203.35,5115.1,112.2,32.65,251.5,575.75,7394.5,135.5,76167.1,76.05,1220.75,3120.45,153.55,57.2,611.75,5.88,178.8,7.54,660.45,130.1,68.2,488.9,1059.9,5.89,21.6
263.05,804.8,229.95,61.25,893.15,207.7,5346.0,115.4,33.95,258.1,605.35,7448.9,135.0,75819.8,76.9,1252.95,3143.2,159.6,59.05,611.8,6.17,181.0,7.7,688.1,136.4,70.05,484.85,1125.15,5.96,24.95
266.75,822.6,231.2,60.4,895.3,208.6,5494.55,114.85,33.8,257.6,601.2,7447.05,136.2,75932.7,76.9,1236.35,3221.0,158.7,60.3,610.95,6.28,180.85,7.78,684.0,135.2,69.3,467.85,1104.8,6.05,27.1
275.15,822.0,230.9,60.45,903.95,209.5,5532.85,114.6,35.2,262.8,602.65,7480.3,137.55,75406.6,78.0,1240.1,3184.2,161.15,63.95,610.8,6.13,183.0,7.85,683.1,145.65,72.5,473.0,1145.2,6.0,28.75
277.9,835.95,230.05,62.65,908.5,211.55,5469.1,114.65,35.35,262.3,598.85,7453.95,135.15,75632.9,78.25,1250.15,3213.5,176.45,64.5,611.4,6.0,180.15,7.54,678.5,144.05,71.1,480.55,1165.3,5.94,30.9
276.85,830.9,244.85,62.3,904.65,211.1,5485.7,114.4,35.4,264.1,594.3,7611.15,135.6,77018.65,78.95,1246.2,3226.75,175.05,69.65,613.2,5.92,179.05,7.68,673.1,147.75,70.6,478.7,1132.8,6.16,30.3
